,data,hora,time_casa,time_visitante,casa_ganha,empate,visitante_ganha,maisq,menosq,simodd,nãoodd
227,1900-01-31,16:45,Yeovil,Wealdstone FC,2.35,3.3,2.95,2.2,1.62,1.93,1.78
228,1900-01-31,16:45,Eastleigh FC,Barnet FC,2.3,3.35,2.95,1.8,1.93,1.65,2.12
229,1900-02-03,16:45,Scunthorpe,Barnet FC,4.0,3.65,1.83,1.78,1.98,1.7,2.05
230,1900-02-04,12:00,Wealdstone FC,Dagenham & Redbridge,2.35,3.45,2.82,1.78,1.98,1.62,2.15
231,1900-02-04,12:00,Oldham,Halifax Town,2.5,3.1,2.9,2.05,1.72,1.75,1.95
232,1900-02-04,12:00,Bromley FC,Maidenhead United,1.95,3.75,3.45,1.8,1.95,1.72,2.02
233,1900-02-04,12:00,Solihull Moors,Gateshead FC,1.82,3.7,4.0,1.7,2.07,1.65,2.12
234,1900-02-04,12:00,Southend,York City,1.57,3.9,5.6,2.02,1.75,2.05,1.7
235,1900-02-04,12:00,Yeovil,Maidstone United,2.2,3.4,3.1,1.87,1.87,1.7,2.02
236,1900-02-04,12:00,Aldershot Town,Dorking Wanderers,2.07,3.6,3.25,1.7,2.07,1.6,2.2
237,1900-02-04,12:00,Eastleigh FC,Woking FC,3.2,3.3,2.2,1.78,1.98,1.6,2.18
238,1900-02-04,12:00,Boreham Wood,Chesterfield FC,3.1,3.25,2.27,1.87,1.87,1.65,2.1
239,1900-02-04,12:00,Torquay United,Notts County,5.8,4.6,1.47,1.5,2.45,1.65,2.12
240,1900-02-04,14:20,Altrincham FC,Wrexham FC,3.65,4.15,1.8,1.62,2.2,1.62,2.15
241,1900-01-31,16:45,Chorley,AFC Telford United,1.65,3.9,4.6,1.98,1.75,2.02,1.7
242,1900-01-31,16:45,Chester FC,Alfreton Town,1.95,3.5,3.55,2.0,1.72,1.88,1.82
243,1900-01-31,16:45,Kidderminster Harriers,Blyth Spartans,1.55,4.05,5.3,1.95,1.75,2.1,1.65
244,1900-01-31,16:45,Kettering Town,Boston United,2.85,3.4,2.3,2.0,1.72,1.83,1.88
245,1900-01-31,16:45,Scarborough Athletic,Brackley Town,3.45,3.65,1.93,1.98,1.75,1.9,1.82
246,1900-01-31,16:45,Kings Lynn Town,Bradford Park Avenue,1.37,4.65,7.3,1.87,1.83,2.3,1.55
247,1900-01-31,16:45,Spennymoor Town,Hereford United,2.18,3.5,2.95,1.93,1.78,1.8,1.91
248,1900-01-31,16:45,Darlington FC,Southport FC,1.72,3.85,4.15,1.72,2.0,1.72,2.0
249,1900-02-04,12:00,Kidderminster Harriers,Scarborough Athletic,1.8,3.6,4.0,1.75,1.95,1.7,2.02
250,1900-02-04,12:00,Darlington FC,AFC Telford United,1.6,3.95,4.9,1.62,2.15,1.65,2.1
251,1900-02-04,12:00,Buxton FC,Kings Lynn Town,6.4,4.1,1.47,1.75,1.95,1.91,1.8
252,1900-02-04,12:00,AFC Fylde,Curzon Ashton FC,1.53,3.9,5.9,1.85,1.85,1.93,1.78
253,1900-02-04,12:00,Chester FC,Spennymoor Town,1.78,3.65,4.05,1.72,2.02,1.65,2.1
254,1900-02-04,12:00,Farsley Celtic,Hereford United,2.95,3.3,2.3,1.95,1.75,1.75,1.95
255,1900-02-04,12:00,Leamington,Blyth Spartans,2.0,3.5,3.4,1.75,1.95,1.65,2.1
256,1900-02-04,12:00,Gloucester City,Bradford Park Avenue,1.8,3.7,3.9,1.62,2.15,1.57,2.25
257,1900-02-04,12:00,Alfreton Town,Boston United,2.07,3.4,3.3,1.85,1.85,1.72,2.02
258,1900-02-04,12:00,Banbury United,Kettering Town,1.45,4.1,6.8,1.85,1.85,2.05,1.7
259,1900-02-04,12:00,Chorley,Southport FC,1.8,3.55,4.1,1.72,2.0,1.65,2.12
260,1900-02-04,12:00,Peterborough Sports,Brackley Town,3.8,3.45,1.9,1.75,1.95,1.65,2.1
262,1900-01-31,16:45,Braintree Town,Cheshunt FC,1.65,3.85,4.6,1.85,1.85,1.87,1.83
263,1900-01-31,16:45,Hungerford Town FC,Chelmsford City,3.75,3.6,1.87,1.91,1.8,1.83,1.87
264,1900-01-31,16:45,Taunton Town,Havant & Waterlooville,3.95,3.75,1.78,1.75,1.98,1.72,2.0
265,1900-01-31,16:45,Farnborough,Hemel Hempstead Town,1.75,3.85,3.95,1.88,1.82,1.87,1.85
266,1900-01-31,16:45,Weymouth,Hampton & Richmond Borough FC,1.93,3.75,3.4,1.7,2.02,1.65,2.1
267,1900-02-04,12:00,Chippenham Town,Braintree Town,2.6,3.35,2.55,1.85,1.85,1.7,2.05
