03 fev 08:00,1.82,1.82,2.4,3.25,2.5,Será Disponibilizado Ao Vivo,Tiddim Road Athletic Club,Mohammedan SC,,,
03 fev 08:00,2.0,3.6,2.9,Chiang Mai,Phrae United,,,,,,
03 fev 09:00,2.8,2.8,2.4,Velez Sarsfield (Res),Newells Old Boys (Res),,,,,,
03 fev 10:00,2.3,1.5,2.4,2.9,2.8,Não sera,Hapoel Ramat Gan,Maccabi Ahi Nazareth,,,
03 fev 10:00,2.3,1.5,2.8,2.9,2.4,Não sera,Maccabi Kabilio Jaffa,Bnei Yehuda,,,
03 fev 10:00,2.5,1.44,2.05,2.9,3.5,Não sera,Hapoel Rishon Lezion,Ironi Ramat Hasharon,,,
03 fev 10:00,2.3,1.5,2.15,2.9,3.0,Não sera,Hapoel K Saba,Hapoel Akko,,,
03 fev 10:30,1.72,1.95,1.83,3.5,3.75,Não sera,Al Ahli (BRN),Al Najma (BRN),,,
03 fev 11:00,1.58,2.25,5.0,4.0,1.55,Será Disponibilizado Ao Vivo,Quess East Bengal,Kerala Blasters FC,,,
03 fev 12:00,1.75,1.95,5.5,4.25,1.5,Será Disponibilizado Ao Vivo,Al-Fateh (KSA),Al Nasr FC Riyadh,,,
03 fev 12:00,2.6,1.42,2.5,2.9,2.8,Será Disponibilizado Ao Vivo,Chindia Targoviste,Uta Arad,,,
03 fev 12:30,1.95,1.72,1.38,4.0,7.0,Não sera,Paphos FC,Nea Salamis,,,
03 fev 13:00,2.1,1.6,2.15,3.0,3.0,Será Disponibilizado Ao Vivo,NK Istra,Varazdin,,,
03 fev 13:00,2.8,2.7,2.63,Moroka Swallows,Richards Bay FC,,,,,,
03 fev 14:00,1.55,2.2,2.7,3.6,2.15,Será Disponibilizado Ao Vivo,Wolfsberger AC,Rapid Vienna,,,
03 fev 14:00,2.15,1.62,2.15,3.0,3.25,Será Disponibilizado Ao Vivo,Wisla Plock,Warta Poznan,,,
03 fev 14:00,1.85,1.8,2.3,3.25,2.7,Não sera,Altay,Adanaspor,,,
03 fev 14:30,2.1,1.65,1.65,3.5,5.0,Será Disponibilizado Ao Vivo,Al-Ettifaq,Al-Adalh,,,
03 fev 14:30,1.62,2.15,2.1,3.5,3.0,Será Disponibilizado Ao Vivo,Paderborn,Fortuna Dusseldorf,,,
03 fev 14:30,1.8,1.9,3.5,3.25,1.9,Será Disponibilizado Ao Vivo,SV Sandhausen,SV Darmstadt,,,
03 fev 15:00,2.6,1.42,2.2,2.9,3.25,Será Disponibilizado Ao Vivo,FC U Craiova 1948,Universitatea Cluj,,,
03 fev 15:00,2.2,1.55,1.7,3.25,4.5,Não sera,APOEL,Apollon Limassol,,,
03 fev 15:00,1.8,1.85,1.6,3.5,4.75,Não sera,Freiburg II,Bayreuth,,,
03 fev 15:00,1.68,2.0,1.5,3.75,5.0,Será Disponibilizado Ao Vivo,Lokomotiv Leipzig,Viktoria Berlin,,,
03 fev 15:00,1.55,2.2,1.55,3.75,4.75,Será Disponibilizado Ao Vivo,Altglienicke,Chemie Leipzig,,,
03 fev 15:00,1.4,2.6,1.14,6.0,14.0,Será Disponibilizado Ao Vivo,Carl Zeiss Jena,Tennis Borussia Berlin,,,
03 fev 15:30,2.2,1.55,2.6,3.0,2.5,Será Disponibilizado Ao Vivo,Gobelins F.C.,Villefranche Beaujolais,,,
03 fev 15:30,2.1,1.6,2.2,3.0,3.0,Será Disponibilizado Ao Vivo,Bourg-en-Bresse,Versailles 78 FC,,,
03 fev 15:30,2.0,1.68,2.4,3.0,2.7,Não sera,Le Mans,Concarneau,,,
03 fev 15:30,1.95,1.72,2.6,3.0,2.4,Será Disponibilizado Ao Vivo,Avranches,Stade Briochin,,,
03 fev 15:30,2.3,1.5,2.3,2.9,2.9,Será Disponibilizado Ao Vivo,Dunkerque,Nancy,,,
03 fev 15:30,2.0,1.68,2.4,3.0,2.6,Será Disponibilizado Ao Vivo,Le Puy,Cholet SO,,,
03 fev 15:30,1.95,1.72,1.6,3.6,4.75,Será Disponibilizado Ao Vivo,Red Star,Sedan,,,
03 fev 15:30,2.05,1.65,2.1,3.0,3.0,Será Disponibilizado Ao Vivo,Martigues,Chateauroux,,,
03 fev 15:30,1.95,1.72,1.5,3.75,5.0,Será Disponibilizado Ao Vivo,Orleans,FC Bastia-Borgo,,,
03 fev 15:30,1.68,2.0,2.6,3.25,2.3,Será Disponibilizado Ao Vivo,Schaffhausen,FC Vaduz,,,
03 fev 15:30,1.5,2.3,2.5,3.25,2.4,Será Disponibilizado Ao Vivo,Yverdon Sport,Stade Lausanne-Ouchy,,,
03 fev 16:00,2.0,1.7,2.7,3.0,2.4,Será Disponibilizado Ao Vivo,Fortuna Sittard,Sparta Rotterdam,,,
03 fev 16:00,1.68,2.0,1.9,3.5,3.25,Será Disponibilizado Ao Vivo,ADO Den Haag,NAC Breda,,,
03 fev 16:00,1.72,1.95,1.65,3.75,4.25,Será Disponibilizado Ao Vivo,De Graafschap,SC Telstar,,,
03 fev 16:00,1.72,1.95,1.65,3.5,4.25,Será Disponibilizado Ao Vivo,Almere City,Jong PSV Eindhoven,,,
03 fev 16:00,1.82,1.82,3.25,3.25,1.9,Será Disponibilizado Ao Vivo,FC Dordrecht,FC Eindhoven,,,
03 fev 16:00,1.68,2.0,2.3,3.25,2.6,Será Disponibilizado Ao Vivo,FC Oss,Den Bosch,,,
03 fev 16:00,1.44,2.5,1.28,5.0,7.5,Será Disponibilizado Ao Vivo,Heracles,Jong FC Utrecht,,,
03 fev 16:00,1.72,1.95,1.4,4.0,6.0,Será Disponibilizado Ao Vivo,Willem II,Helmond Sport,,,
03 fev 16:00,1.68,2.0,2.4,3.5,2.4,Será Disponibilizado Ao Vivo,Jong AZ Alkmaar,VVV Venlo,,,
03 fev 16:00,1.55,2.2,3.75,3.5,1.7,Será Disponibilizado Ao Vivo,Racing Genk B,Waasland-Beveren,,,
03 fev 16:00,1.85,1.8,1.5,3.75,5.5,Será Disponibilizado Ao Vivo,Puskas Akademia,Vasas,,,
03 fev 16:00,2.8,1.35,3.0,2.8,2.3,Não sera,Níger,Madagascar,,,
03 fev 16:15,1.55,2.2,1.87,3.75,3.3,Será Disponibilizado Ao Vivo,Lausanne,AARAU,,,
03 fev 16:30,1.6,4.2,3.75,Willow Park,Collinstown FC,,,,,,
03 fev 16:30,1.6,2.2,4.0,3.75,1.75,Será Disponibilizado Ao Vivo,Augsburg,Leverkusen,,,
